item_id,order_id,food_item,amount_paid
0,114,Braised Beef Noodles,10.25
1,2825,Gam Ja Tang,11.25
2,4717,Cha Siu Bao,9.25
3,1035,Black Sugar Bubble Tea,5.25
4,1023,Pork Belly Bao,9.25
5,4359,Braised Beef Noodles,10.25
6,3929,Gam Ja Tang,11.25
7,3704,Braised Beef Noodles,10.25
8,1666,Pork Belly Bao,9.25
9,1477,Gam Ja Tang,11.25
10,4369,Gam Ja Tang,11.25
11,998,Pork Belly Bao,9.25
12,2730,Braised Beef Noodles,10.25
13,3038,Gam Ja Tang,11.25
14,3602,Braised Beef Noodles,10.25
15,1484,Gam Ja Tang,11.25
16,4382,Gam Ja Tang,11.25
17,4778,Gam Ja Tang,11.25
18,646,Pork Belly Bao,9.25
19,4692,Braised Beef Noodles,10.25
20,3965,Passionfruit Green Tea,3.75
21,4165,Pork Belly Bao,9.25
22,3982,Pork Belly Bao,9.25
23,2002,Braised Beef Noodles,10.25
24,2554,Cha Siu Bao,9.25
25,3407,Gam Ja Tang,11.25
26,2550,Pork Belly Bao,9.25
27,527,Black Sugar Bubble Tea,5.25
28,855,Pork Belly Bao,9.25
29,668,Braised Beef Noodles,10.25
30,2764,Pork Belly Bao,9.25
31,4953,Matcha Cheese Cake,6.75
32,1355,Pork Belly Bao,9.25
33,2852,Gam Ja Tang,11.25
34,1588,Cha Siu Bao,9.25
35,4019,Pork Belly Bao,9.25
36,477,Braised Beef Noodles,10.25
37,3089,Braised Beef Noodles,10.25
38,336,Gam Ja Tang,11.25
39,3919,Gam Ja Tang,11.25
40,1951,Gam Ja Tang,11.25
41,648,Gam Ja Tang,11.25
42,50,Pork Belly Bao,9.25
43,1958,Matcha Cheese Cake,6.75
44,2422,Braised Beef Noodles,10.25
45,2442,Braised Beef Noodles,10.25
46,4181,Gam Ja Tang,11.25
47,1865,Passionfruit Green Tea,3.75
48,1327,Passionfruit Green Tea,3.75
49,4818,Gam Ja Tang,11.25
50,354,Passionfruit Green Tea,3.75
51,2946,Passionfruit Green Tea,3.75
52,2324,Gam Ja Tang,11.25
53,3884,Cha Siu Bao,9.25
54,3184,Passionfruit Green Tea,3.75
55,2586,Passionfruit Green Tea,3.75
56,4410,Matcha Cheese Cake,6.75
57,4428,Pork Belly Bao,9.25
58,1450,Matcha Cheese Cake,6.75
59,3016,Braised Beef Noodles,10.25
60,57,Black Sugar Bubble Tea,5.25
61,2686,Matcha Cheese Cake,6.75
62,1834,Pork Belly Bao,9.25
63,4861,Gam Ja Tang,11.25
64,3081,Pork Belly Bao,9.25
65,4103,Gam Ja Tang,11.25
66,655,Pork Belly Bao,9.25
67,975,Pork Belly Bao,9.25
68,4522,Cha Siu Bao,9.25
69,4255,Pork Belly Bao,9.25
70,3633,Cha Siu Bao,9.25
71,2571,Pork Belly Bao,9.25
72,2236,Pork Belly Bao,9.25
73,1056,Gam Ja Tang,11.25
74,2287,Gam Ja Tang,11.25
75,3243,Cha Siu Bao,9.25
76,2731,Pork Belly Bao,9.25
77,4331,Cha Siu Bao,9.25
78,4260,Black Sugar Bubble Tea,5.25
79,4834,Gam Ja Tang,11.25
80,2931,Pork Belly Bao,9.25
81,3711,Pork Belly Bao,9.25
82,4700,Gam Ja Tang,11.25
83,4288,Gam Ja Tang,11.25
84,1569,Cha Siu Bao,9.25
85,1564,Pork Belly Bao,9.25
86,2280,Passionfruit Green Tea,3.75
87,4522,Braised Beef Noodles,10.25
88,3514,Passionfruit Green Tea,3.75
89,1913,Gam Ja Tang,11.25
90,980,Gam Ja Tang,11.25
91,1639,Pork Belly Bao,9.25
92,1954,Gam Ja Tang,11.25
93,355,Gam Ja Tang,11.25
94,2600,Pork Belly Bao,9.25
95,2264,Braised Beef Noodles,10.25
96,37,Pork Belly Bao,9.25
97,2917,Passionfruit Green Tea,3.75
98,4002,Black Sugar Bubble Tea,5.25
99,148,Pork Belly Bao,9.25
100,4647,Passionfruit Green Tea,3.75
101,1823,Cha Siu Bao,9.25
102,1387,Cha Siu Bao,9.25
103,122,Braised Beef Noodles,10.25
104,2706,Cha Siu Bao,9.25
105,426,Cha Siu Bao,9.25
106,716,Gam Ja Tang,11.25
107,2100,Cha Siu Bao,9.25
108,4480,Gam Ja Tang,11.25
109,2143,Cha Siu Bao,9.25
110,2778,Braised Beef Noodles,10.25
111,4917,Passionfruit Green Tea,3.75
112,414,Passionfruit Green Tea,3.75
113,1995,Pork Belly Bao,9.25
114,3583,Cha Siu Bao,9.25
115,289,Braised Beef Noodles,10.25
116,2162,Gam Ja Tang,11.25
117,4739,Pork Belly Bao,9.25
118,4875,Pork Belly Bao,9.25
119,4171,Braised Beef Noodles,10.25
120,4767,Passionfruit Green Tea,3.75
121,699,Herbal Grass Jelly Drink,8.75
122,4787,Passionfruit Green Tea,3.75
123,4175,Gam Ja Tang,11.25
124,2876,Braised Beef Noodles,10.25
125,4023,Pork Belly Bao,9.25
126,2388,Cha Siu Bao,9.25
127,1411,Pork Belly Bao,9.25
128,2576,Braised Beef Noodles,10.25
129,4142,Cha Siu Bao,9.25
130,1028,Braised Beef Noodles,10.25
131,1749,Passionfruit Green Tea,3.75
132,3385,Cha Siu Bao,9.25
133,401,Cha Siu Bao,9.25
134,3287,Cha Siu Bao,9.25
135,4629,Passionfruit Green Tea,3.75
136,4213,Passionfruit Green Tea,3.75
137,4899,Braised Beef Noodles,10.25
138,1677,Matcha Cheese Cake,6.75
139,1997,Braised Beef Noodles,10.25
140,1799,Braised Beef Noodles,10.25
141,1131,Passionfruit Green Tea,3.75
142,2453,Pork Belly Bao,9.25
143,177,Cha Siu Bao,9.25
144,2695,Gam Ja Tang,11.25
145,4272,Passionfruit Green Tea,3.75
146,3006,Gam Ja Tang,11.25
147,286,Pork Belly Bao,9.25
148,3467,Gam Ja Tang,11.25
149,3941,Braised Beef Noodles,10.25
150,4852,Cha Siu Bao,9.25
151,2750,Cha Siu Bao,9.25
152,1979,Gam Ja Tang,11.25
153,4019,Pork Belly Bao,9.25
154,4073,Passionfruit Green Tea,3.75
155,1510,Gam Ja Tang,11.25
156,3210,Pork Belly Bao,9.25
157,978,Braised Beef Noodles,10.25
158,2135,Passionfruit Green Tea,3.75
159,375,Cha Siu Bao,9.25
160,595,Pork Belly Bao,9.25
161,2382,Black Sugar Bubble Tea,5.25
162,4596,Gam Ja Tang,11.25
163,249,Gam Ja Tang,11.25
