id,ordered_at,delivered_at,delivered_to,order_channel
0,8/19/2018 22:01,8/19/2018 22:19,CX-767,delivery 
1,11/16/2018 0:12,11/16/2018 0:40,CX-847,pick-up
2,11/27/2018 8:06,11/27/2018 8:08,CX-972,delivery 
3,10/14/2018 1:16,10/14/2018 1:25,CX-390,pick-up
4,11/28/2018 5:10,11/28/2018 5:16,CX-914,delivery 
5,11/20/2018 13:14,11/20/2018 13:18,CX-490,pick-up
6,9/29/2018 15:02,9/29/2018 15:08,CX-562,delivery 
7,11/18/2018 19:20,11/18/2018 19:53,CX-478,pick-up
8,11/18/2018 19:20,11/18/2018 19:53,CX-393,delivery 
9,9/1/2018 15:08,9/1/2018 15:22,CX-534,pick-up
10,10/21/2018 7:39,10/21/2018 7:45,CX-209,delivery 
11,10/9/2018 16:31,10/9/2018 16:41,CX-456,pick-up
12,11/14/2018 22:58,11/14/2018 23:21,CX-454,delivery 
13,11/13/2018 1:06,11/13/2018 1:28,CX-515,pick-up
14,10/26/2018 22:37,10/26/2018 22:55,CX-588,delivery 
15,11/18/2018 19:20,11/18/2018 19:53,CX-621,pick-up
16,8/11/2018 6:34,8/11/2018 6:37,CX-25,delivery 
17,10/29/2018 1:51,10/29/2018 2:16,CX-903,pick-up
18,9/4/2018 16:25,9/4/2018 16:53,CX-22,delivery 
19,11/6/2018 7:20,11/6/2018 7:37,CX-126,pick-up
20,10/21/2018 4:25,10/21/2018 4:48,CX-155,delivery 
21,11/10/2018 0:01,11/10/2018 0:10,CX-166,pick-up
22,11/15/2018 18:00,11/15/2018 20:00,CX-778,delivery 
23,11/11/2018 3:08,11/11/2018 3:21,CX-87,pick-up
24,9/25/2018 11:29,9/25/2018 11:52,CX-586,delivery 
25,9/3/2018 16:59,9/3/2018 17:15,CX-728,pick-up
26,10/2/2018 8:15,10/2/2018 8:37,CX-369,delivery 
27,10/23/2018 8:33,10/23/2018 8:48,CX-253,pick-up
28,8/24/2018 13:24,8/24/2018 13:34,CX-469,delivery 
29,11/17/2018 15:35,11/17/2018 16:01,CX-987,pick-up
30,8/28/2018 13:36,8/28/2018 13:38,CX-712,delivery 
31,11/27/2018 16:43,11/27/2018 17:01,CX-532,pick-up
32,10/22/2018 5:24,10/22/2018 5:54,CX-813,delivery 
33,11/3/2018 14:12,11/3/2018 14:41,CX-508,pick-up
34,11/7/2018 18:09,11/7/2018 18:13,CX-10,pick-up
35,11/30/2018 19:48,11/30/2018 20:02,CX-903,delivery 
36,11/15/2018 23:06,11/15/2018 23:35,CX-476,pick-up
37,10/25/2018 13:48,10/25/2018 14:09,CX-606,delivery 
38,10/14/2018 0:12,10/14/2018 0:14,CX-338,pick-up
39,9/30/2018 19:09,9/30/2018 19:11,CX-492,delivery 
40,10/22/2018 22:19,10/22/2018 22:23,CX-694,pick-up
41,11/29/2018 17:13,11/29/2018 17:21,CX-1,delivery 
42,11/9/2018 7:17,11/9/2018 7:20,CX-566,pick-up
43,10/11/2018 13:29,10/11/2018 13:52,CX-170,delivery 
44,8/11/2018 17:06,8/11/2018 17:11,CX-485,pick-up
45,11/24/2018 12:26,11/24/2018 12:36,CX-609,pick-up
46,11/29/2018 6:47,11/29/2018 7:04,CX-96,delivery 
47,11/13/2018 21:44,11/13/2018 22:10,CX-729,pick-up
48,10/17/2018 14:32,10/17/2018 14:51,CX-505,delivery 
49,10/15/2018 17:41,10/15/2018 18:06,CX-910,pick-up
50,9/12/2018 18:23,9/12/2018 18:50,CX-811,delivery 
51,9/23/2018 12:39,9/23/2018 12:51,CX-9,pick-up
52,11/9/2018 22:27,11/9/2018 22:44,CX-137,delivery 
53,10/17/2018 18:52,10/17/2018 19:14,CX-4,pick-up
54,11/15/2018 21:42,11/15/2018 21:42,CX-296,delivery 
55,10/31/2018 14:50,10/31/2018 15:01,CX-369,pick-up
56,11/28/2018 6:49,11/28/2018 7:13,CX-462,delivery 
57,11/28/2018 22:26,11/28/2018 22:37,CX-924,pick-up
58,10/2/2018 18:34,10/2/2018 18:42,CX-884,delivery 
59,11/10/2018 3:04,11/10/2018 3:10,CX-413,pick-up
60,11/15/2018 19:54,11/15/2018 20:10,CX-477,delivery 
61,10/26/2018 9:35,10/26/2018 10:02,CX-48,pick-up
62,11/12/2018 18:20,11/12/2018 18:24,CX-668,delivery 
63,11/9/2018 8:26,11/9/2018 8:43,CX-2,pick-up
64,11/4/2018 5:37,11/4/2018 6:04,CX-32,delivery 
65,10/4/2018 14:56,10/4/2018 15:05,CX-591,pick-up
66,10/12/2018 5:55,10/12/2018 6:22,CX-211,delivery 
67,10/20/2018 12:55,10/20/2018 13:08,CX-44,pick-up
68,10/21/2018 3:40,10/21/2018 3:48,CX-910,pick-up
69,11/28/2018 3:37,11/28/2018 3:41,CX-86,delivery 
70,10/17/2018 13:09,10/17/2018 13:27,CX-431,pick-up
71,11/15/2018 22:20,11/15/2018 22:49,CX-290,delivery 
72,11/25/2018 2:07,11/25/2018 2:15,CX-792,pick-up
73,10/30/2018 7:38,10/30/2018 8:05,CX-166,delivery 
74,11/2/2018 16:11,11/2/2018 16:26,CX-79,pick-up
75,11/12/2018 22:32,11/12/2018 22:39,CX-810,delivery 
76,10/30/2018 8:04,10/30/2018 8:32,CX-657,pick-up
77,11/10/2018 20:32,11/10/2018 20:35,CX-145,delivery 
78,11/16/2018 19:54,11/16/2018 20:02,CX-668,pick-up
79,11/29/2018 4:51,11/29/2018 5:03,CX-458,delivery 
80,10/4/2018 23:09,10/4/2018 23:13,CX-48,pick-up
81,8/28/2018 4:45,8/28/2018 5:07,CX-617,pick-up
82,11/4/2018 21:46,11/4/2018 21:59,CX-275,delivery 
83,11/6/2018 7:23,11/6/2018 7:35,CX-51,pick-up
84,11/27/2018 3:06,11/27/2018 3:08,CX-324,delivery 
85,10/28/2018 17:41,10/28/2018 18:07,CX-174,pick-up
86,9/21/2018 20:06,9/21/2018 20:13,CX-856,pick-up
87,11/10/2018 21:58,11/10/2018 22:07,CX-975,delivery 
88,12/1/2018 14:04,12/1/2018 14:13,CX-717,pick-up
89,11/13/2018 18:54,11/13/2018 19:23,CX-505,delivery 
90,9/18/2018 20:00,9/18/2018 20:10,CX-750,pick-up
91,10/6/2018 5:55,10/6/2018 6:12,CX-150,delivery 
92,11/8/2018 14:04,11/8/2018 14:27,CX-524,pick-up
93,9/27/2018 23:59,9/28/2018 0:15,CX-727,delivery 
94,10/17/2018 16:13,10/17/2018 16:30,CX-460,pick-up
